departure_id,hex_h3_r2,booked_ffe,booked_spot_total_freight,offered_ffe,rejected_ffe,rejected_ffe_vessel_sold_out,rejected_ffe_vessel_not_open,rejected_offer_value,rejected_offer_value_vessel_sold_out,rejected_offer_value_vessel_not_open,non_offer_ratio,hex_role
202601,822da7fffffffff,1,1023,186.5,6264.5,2408,3832.5,176860.32469362454,132852.5509681845,43892.592712160345,0.971089753526585,destination
202550,823827fffffffff,54,302018,452.5,3452,2248,1054.5,532618.3855257609,296158.64017612307,211107.9778271271,0.8841080804200282,destination
202551,822db7fffffffff,231.5,733239,4834.5,19889.5,13417,5949.5,1055641.1659784417,742508.7749883583,294094.9873891868,0.8044612522245591,destination
202550,8242c7fffffffff,152.5,277366,1196,3711,3035,5.5,353200.1059790125,290947.0139203202,277.99556478772445,0.7562665579783983,destination
202550,823f1ffffffffff,66,236459,762,3886,2333.5,1275.5,442039.8407550485,242227.98789141636,172858.8954448437,0.8360585197934596,destination
202550,8239affffffffff,99.5,444423,2848.5,21348.5,13695.5,6701,2269860.027224386,1216139.1270318893,980489.7721331937,0.8822787948919287,destination
202552,82391ffffffffff,83.5,229666,1903.5,2088,1043.5,988,253403.7090637467,120353.06102324396,128170.05481228733,0.5231116121758738,destination
202551,82618ffffffffff,23.5,44237,257,1750,1605,110,78552.73556079525,72499.6397672349,4361.044311232163,0.8719481813652217,destination
202552,823947fffffffff,41.5,130189,1253.5,3428.5,779.5,2572,658983.4272139159,149476.51668870205,500452.02859801886,0.7322725331055104,destination
202548,823f67fffffffff,29,123190,1919.5,3147,2581,140,156633.5274161954,130482.47839301794,5019.367037763609,0.6211388532517517,destination
202602,82618ffffffffff,42.5,75107,287.5,658.5,462,184.5,52537.606356624696,37376.16606217885,14109.234706634552,0.6960887949260042,destination
202548,822da7fffffffff,134.5,389473,6055.5,10131,7681,796.5,444056.443646824,328953.03376025223,18112.63126598601,0.6258919469928644,destination
202551,821ea7fffffffff,244,936971,5435.5,6239,3294.5,2044.5,271300.9808451253,166925.42566723953,72474.86832095974,0.5344126086770311,destination
202549,822d37fffffffff,155,587080,2794,7272,4148,1048.5,455716.3203792271,239599.63531523992,72062.2301000421,0.7224319491357043,destination
202604,822db7fffffffff,2,4694,2,697.5,219.5,476,213575.73004416216,53983.61563626962,156457.18940400422,0.9971408148677627,destination
202548,823927fffffffff,113,383743,1608,2499.5,1803,163.5,199714.5669705264,154956.18858905006,10698.465320977228,0.6085209981740718,destination
202552,821ea7fffffffff,223.5,886736,2565.5,4482,1401,2470,684387.1191090408,194625.89367164232,403407.60399762157,0.6359702021993615,destination
202604,821ecffffffffff,0,0,0,544,57,486,267368.0261678896,29061.741974770604,238306.28419311898,1,destination
202549,82396ffffffffff,45,146692,1183,6337,4615.5,1351,367279.8359670419,249260.20377551534,96086.45594529598,0.8426861702127659,destination
202551,822c27fffffffff,71,272984,3551,8584,6115.5,2323.5,353954.8730822204,259542.04511557857,89627.09292831091,0.7073753605274001,destination
202552,821ec7fffffffff,40.5,100651,880,3226.5,1860,1319,581301.6552298493,315512.5070641006,259818.21259893687,0.7857055887008402,destination
202549,821ec7fffffffff,32.5,98455,1176,7258.5,5370.5,1264,436282.21687621146,312413.3370086866,96085.72162994009,0.8605726480526409,destination
202547,82618ffffffffff,4.5,9007,201.5,404.5,227,0,44493.96423950886,35636.75493774352,0,0.6674917491749175,destination
202602,823e6ffffffffff,5,18323,71,537.5,323.5,205,80508.98187103975,51241.90526262632,28389.486163074343,0.8833196384552178,destination
202551,821e87fffffffff,33,105324,2102,7344.5,6271,961,276811.042317577,239344.33021342134,32671.138122109616,0.7774837241306304,destination
202602,822da7fffffffff,0,0,1,2529,1436.5,1092.5,49463.345489626605,42204.35515260648,7258.990337020124,0.999604743083004,destination
202547,823f5ffffffffff,14.5,51147,436.5,3938.5,3454.5,21.5,101538.6862976845,91690.2082654223,344.1730682564949,0.9002285714285714,destination
202549,8242dffffffffff,58.5,109335,402,1460,1131,14,143238.88067971275,127001.42115914934,1806.0960474436665,0.7841031149301826,destination
202550,821ed7fffffffff,5.5,24836,785.5,3655,2715.5,627.5,277877.1894348155,203460.0049970586,50815.12659622237,0.8231055061366963,destination
202547,821e87fffffffff,10,37393,838.5,3429,2725,23,86713.58098021688,73070.2648997134,618.7598432065545,0.8035149384885765,destination
202552,821f27fffffffff,115.5,358651,1675,1687.5,716,845,122212.52149958652,61923.38664278602,53043.85622690406,0.5018587360594795,destination
202604,8242c7fffffffff,0,0,32,404.5,99,304,66116.87657628703,33158.801116629744,32455.669382132597,0.9266895761741123,destination
202548,821fa7fffffffff,165.5,434683,6342.5,6560,4972.5,21.5,147287.75135129647,120976.19732635547,206.63231971874956,0.5084285991086999,destination
202552,823927fffffffff,30.5,112804,706.5,1688.5,741,907,293383.91619659157,129675.52808473034,152611.26521927209,0.7050104384133612,destination
202552,823f67fffffffff,10,39544,738.5,2183,1266,905,285889.64858968323,125621.21171859815,158172.57312431443,0.7472188944035598,destination
202548,823957fffffffff,154,500234,3101.5,3569,2187.5,154.5,213506.9393940063,127300.6831199835,5666.935995439759,0.5350423506483771,destination
202549,82384ffffffffff,81,443236,1308.5,2458.5,1388.5,841.5,159196.46019983545,83055.90966417451,63268.95312391072,0.6526413591717547,destination
202548,821ec7fffffffff,27.5,74912,731.5,5683,5046.5,251.5,323847.1617909208,289018.1021395794,13906.603603137086,0.8859614934913087,destination
202601,823e6ffffffffff,10.5,32792,123.5,382.5,210,154.5,67745.9013723942,26666.4874434438,38022.86740571791,0.7559288537549407,destination
202601,823f17fffffffff,7,25900,188,3166,292,2865.5,92004.13087525831,30210.440492460868,61688.99407426783,0.9439475253428742,destination
202548,821edffffffffff,52.5,169647,2313,3797.5,2982,312.5,184785.9567618956,142530.44304042484,14040.32212453265,0.6214712380328942,destination
202551,82386ffffffffff,153.5,785913,2683,2075,925,962,101301.83289147489,54774.8908508822,39058.908975092025,0.4361076082387558,destination
202551,821f9ffffffffff,128,497084,5656,3479.5,2432.5,657,125114.96706003511,93294.27746124576,19700.359278048956,0.38087679929943624,destination
202548,822d37fffffffff,53.5,183903,1852.5,5480,3646,164.5,298248.2870100739,199378.52536395247,8242.45187898563,0.7473576542788953,destination
202601,822c27fffffffff,14,36061,515,3344,679,2638,65409.47270612979,33763.950950118124,31590.366208122345,0.8665457372376263,destination
202601,823f5ffffffffff,0,0,155,3100,1709,1368.5,62362.08388225165,48045.655800122106,14057.56079253764,0.9523809523809523,destination
202549,823f67fffffffff,39.5,166021,2883.5,3688,2612.5,627.5,175287.81396823932,116503.28062496407,40256.51755847372,0.5612112911816176,destination
202550,823877fffffffff,46.5,288790,1080,1569.5,752.5,491,130459.09449656148,55728.15917923689,51778.58839752648,0.5923759199849028,destination
202548,821ed7fffffffff,14,63927,631.5,1811,1549,76,100531.0480554226,85930.14938443073,3810.5190537302105,0.741453428863869,destination
202550,822daffffffffff,53,126864,1057.5,2063.5,1418,492.5,145716.2058839042,90411.39512641203,47657.5365922114,0.6611662928548542,destination
202548,82391ffffffffff,112.5,374945,2568,2976,1894.5,118.5,149230.9015349116,93988.39339521805,7573.225726505401,0.5367965367965368,destination
202547,822da7fffffffff,13.5,37681,2549,6051.5,4492,50,79079.89347636468,61736.677572490335,390.21077874430824,0.7036218824486948,destination
202603,823e6ffffffffff,11,34183,83,260,214.5,44.5,26090.61958304707,20909.615610376113,5143.188136934888,0.7580174927113703,destination
202551,82384ffffffffff,76.5,413029,1871.5,1907.5,1223.5,622.5,90895.3524545928,57949.72549947776,29471.990820445742,0.5047631648584282,destination
202549,82346ffffffffff,10.5,41337,186.5,1541,1115.5,359,114771.53817775859,80271.95905241976,30721.845986495755,0.892040520984081,destination
202549,821ed7fffffffff,4.5,25132,559.5,2700.5,1951,529,169938.8344865244,118285.3105669558,38931.40804037013,0.8283742331288344,destination
202551,823947fffffffff,153.5,585740,5352.5,3369.5,2440,804,113533.86563121865,86548.13335019296,23262.989378189206,0.38632194450814034,destination
202604,823e6ffffffffff,0,0,0,163.5,79.5,83,54762.26245019154,26627.522108808727,27799.802956366348,1,destination
202552,821edffffffffff,15.5,44912,900,2332.5,1025.5,1292.5,336121.4191718962,129752.76787638971,204180.37808187713,0.7215777262180975,destination
202550,821edffffffffff,39.5,136811,2252.5,5376,2983.5,2034,354099.9931715749,165749.7707850362,168382.4642745057,0.7047256996788359,destination
202551,82194ffffffffff,594,1664418,10883,6470,3600.5,2201.5,139817.13363252592,66241.08405234064,60403.101262281445,0.3728461937417161,destination
202603,8242c7fffffffff,100.5,142395,598,770.5,436.5,285,26479.244335610918,20530.915148056993,5585.61689023795,0.5630252100840336,destination
202552,821867fffffffff,28,87939,1707.5,3263,1324.5,1813,119392.63097706866,48194.390955209245,66924.6733475693,0.6564731918318076,destination
202551,821f27fffffffff,139.5,422973,3229,2585.5,1616,774.5,59223.29238648245,32531.665310451423,22355.517756193643,0.4446642015650529,destination
202548,822daffffffffff,65,147561,896,1320,1103,24,70859.81726196693,59555.52844538223,1628.130667542102,0.5956678700361011,destination
202550,82184ffffffffff,5,19119,115,369,318.5,38,26855.94308501147,22961.608536784202,3370.064478567504,0.762396694214876,destination
202550,821f9ffffffffff,156.5,570912,5603,6592.5,3404.5,1875.5,352695.4451269045,132597.4569018014,152565.34449175114,0.5405682423844861,destination
202548,821867fffffffff,124.5,335234,4025.5,4414.5,3618.5,18.5,84003.73362216495,69541.43946822837,245.76632211018557,0.5230450236966825,destination
202549,82391ffffffffff,145.5,499646,3288,3880,2227,809.5,196948.0466005832,108111.89930466207,51833.15111901414,0.5412946428571429,destination
202548,82618ffffffffff,13,22734,171.5,849.5,534.5,42.5,60194.18653911014,37442.129218182905,1337.7143496042231,0.8320274240940254,destination
202547,82194ffffffffff,102,283550,3700.5,4695.5,2569.5,154,77398.40838360641,51105.42660392872,1108.9134663374564,0.5592544068604097,destination
202547,821f77fffffffff,4.5,11213,330.5,1326,848.5,7,46355.43039859733,28201.412371312246,638.6109956062827,0.8004829459704196,destination
202550,82536ffffffffff,12,46221,256,585.5,450.5,16,51812.385901456444,39811.448278218006,742.3274309529229,0.6957813428401664,destination
202548,82611ffffffffff,2,2781,104,507.5,334,3,32704.503309185216,20244.643845073533,236.72708991689095,0.8299264104660671,destination
202604,823f17fffffffff,0,0,0,124.5,51,72.5,56379.779431054965,28480.507135275195,27899.27229577978,1,destination
202552,8242c7fffffffff,211.5,307518,1597.5,2269,1686.5,121.5,61767.54640207239,48172.06326398808,2708.7415470283336,0.5868356394672184,destination
202602,822c27fffffffff,11,26356,172.5,1693,552,1133,35923.89770718456,12949.70348058777,22754.89350114158,0.9075314928973466,destination
202604,823c97fffffffff,0,0,0,46,42,4,15407.119710757253,14067.370170691405,1339.7495400658481,1,destination
202601,821e5ffffffffff,1,4313,139,2415.5,407.5,2004,16151.603006231857,12529.895906255442,3621.7070999764146,0.9455862203953806,destination
202548,823877fffffffff,42.5,277981,567.5,883,636,74,60743.24923727749,41936.61535901271,6198.796429185103,0.6087556015167184,destination
202548,822c97fffffffff,14,54939,104,513.5,350,18.5,49308.31953619241,36082.12324216774,2071.12876706456,0.8315789473684211,destination
202551,821f17fffffffff,634.5,1896161,14195.5,11387.5,6456,3970.5,229256.0613964877,95760.25860631959,119187.97317188015,0.4451198061212524,destination
202549,823c97fffffffff,0,0,1.5,277,263,0,16707.94663870891,16189.79748358353,0,0.9946140035906643,destination
202549,82386ffffffffff,99.5,483652,2699,2668.5,1000.5,1170.5,140549.71849286207,48961.97926110906,71740.76331413127,0.4971588262692129,destination
202549,821f9ffffffffff,117,376910,5036.5,4908,2729,1102.5,209139.9464062317,101069.32835800295,68962.8323787215,0.49353914223942885,destination
202552,823937fffffffff,7,31967,547.5,1049,362,598.5,169513.91691264336,67427.2493119453,89464.30103778913,0.6570623238333855,destination
202551,82608ffffffffff,118,167864,1157,1128,920,126.5,38124.90985409311,34775.48439493279,2140.0975725998064,0.4936542669584245,destination
202551,821edffffffffff,32,105721,2262,3551,2087.5,1411.5,125718.66922053717,75904.61819030813,47807.36788532379,0.6108721830380183,destination
202603,822db7fffffffff,2,5074,10.5,1505,415.5,1086,16921.756613838334,11009.905413011411,5911.8512008269245,0.9930715935334873,destination
202551,822c97fffffffff,12,47211,251,628,537.5,55.5,35473.86919310139,31977.198526820084,2066.5335136171443,0.714448236632537,destination
202549,8253affffffffff,21,73102,212.5,472.5,311.5,9.5,30676.28744750221,23930.009442525105,724.1109679174828,0.6897810218978102,destination
202546,82608ffffffffff,0,0,6.5,183,42,0,44312.51790958974,10830.276597823973,0,0.9656992084432717,destination
202604,823f1ffffffffff,0,0,0,102.5,14,88.5,41848.90844366967,8137.287752935769,33711.6206907339,1,destination
202550,821fa7fffffffff,123,284380,5758.5,11583.5,7769,2763.5,228447.7124223585,129917.90320439819,77509.89827240085,0.6679448737169876,destination
202601,821ea7fffffffff,10,28082,449.5,2993,410,2448,21391.145519401154,11055.872074109138,10335.273445292012,0.8694262890341322,destination
202603,82618ffffffffff,2.5,3400,33.5,425.5,347,78.5,18732.347500776195,15100.484969813358,3631.862530962838,0.9270152505446623,destination
202551,823f67fffffffff,19.5,83592,1733.5,2738.5,2005.5,698,104384.22449685413,77113.28113484208,25973.937856545395,0.612365831842576,destination
202550,823c97fffffffff,0,0,1.5,392,315,40,26579.75794878024,21232.577274340758,2986.4222657450437,0.9961880559085133,destination
202547,823e6ffffffffff,2,7825,19,288.5,171,0,22348.745142037318,16179.869234158356,0,0.9382113821138212,destination
202549,82536ffffffffff,4.5,17615,146.5,448,321.5,19.5,27506.21131045317,21743.71727037811,699.0762150901375,0.7535744322960471,destination
202601,821eeffffffffff,5,18402,242,8046,665,7333.5,14925.185260338621,9042.434037381456,5736.065944413251,0.9708011583011583,destination
202546,8242e7fffffffff,0,0,0,63.5,33,0,16762.17077203154,8711.049377591193,0,1,destination
202548,823c97fffffffff,0,0,0,180,158,0,14052.12515881552,12537.389819853994,0,1,destination
202548,82182ffffffffff,74.5,224169,1982,1527,1240.5,37.5,40247.64174493495,34597.120210743684,1131.822502334344,0.4351667141635794,destination
202548,821f9ffffffffff,144,455346,4280.5,3347,2073,203.5,138741.76663598028,89281.32107413177,8373.366448721585,0.4388069485414618,destination
202547,82182ffffffffff,12.5,34342,805.5,1124,773,5,19364.967098134635,15016.785306851114,98.68583072254731,0.5825343353200311,destination
202549,823987fffffffff,11.5,34183,523.5,901,622.5,246.5,53456.57905872808,31284.019134077458,20324.717986914417,0.6325026325026325,destination
202551,822d37fffffffff,52.5,232263,2064,5042.5,2342.5,1373,210425.4929022294,102710.18663368777,56768.89519822801,0.7095616688946739,destination
202547,82608ffffffffff,0,0,60,637,470,1,30751.88154580794,23939.981830637153,85.25406338284694,0.9139167862266858,destination
202604,82611ffffffffff,0,0,0,40.5,29.5,11,13564.96409316671,9880.65285798563,3684.3112351810823,1,destination
202552,82611ffffffffff,11,12964,233,1045,908.5,61.5,29426.81865918701,26794.18907265749,1405.0368109431197,0.8176838810641628,destination
202548,821eb7fffffffff,64.5,203093,1454.5,1488.5,1020.5,129,81672.83803138201,55085.238884206505,8629.792311701824,0.5057764186204553,destination
202547,822d37fffffffff,18,57259,733,3317.5,1673.5,8,64401.93531055081,32883.022956400244,114.90328917826133,0.8190346870756696,destination
202547,823927fffffffff,28,90489,737,1534,941,7,41027.79841628469,28476.87468784427,125.41849807657817,0.6754733597534126,destination
202549,8242e7fffffffff,6,22516,195.5,557.5,391,3.5,32164.291104816104,24337.047439978287,340.8952261663678,0.7403718459495352,destination
202602,8253affffffffff,1.5,6110,69,374.5,214,121.5,25720.43884791083,14295.517280220578,8488.354756215329,0.8444193912063134,destination
202550,8243affffffffff,8,22728,187.5,348,207.5,72,33709.7197106089,21504.03678756382,4800.178667566745,0.6498599439775911,destination
202547,821ec7fffffffff,1.5,4375,209,2737.5,2426.5,9,47185.13710950351,41382.78906434493,159.51267052496107,0.9290683862209401,destination
202551,823927fffffffff,75,297421,2665,2535,1889,557,86288.60442288409,66463.85175586978,17452.03518394864,0.4875,destination
202552,823c97fffffffff,0,0,82.5,348,346.5,1.5,8845.757539540118,8799.97735213218,45.7801874079384,0.8083623693379791,destination
202551,821f67fffffffff,54.5,147816,984,587,356.5,185.5,14026.563298539488,8226.95612304303,5121.543738569208,0.3736473583704647,destination
202548,823cc7fffffffff,0,0,3.5,90,83.5,1,6992.13125337561,6542.28420944801,77.0069162868189,0.9625668449197861,destination
202552,82194ffffffffff,216.5,605623,4800.5,4775,1663.5,2748.5,177255.42446372527,55173.71928359249,109260.50278202034,0.4986684768419404,destination
202551,823987fffffffff,26.5,66879,919,1184,940.5,238.5,47697.01657643109,30203.49158561369,17395.67269152185,0.5630052306229196,destination
202549,82524ffffffffff,5.5,15613,233.5,191.5,121.5,2,9270.922452320126,8316.701575602647,57.03360476768466,0.4505882352941176,destination
202548,823e6ffffffffff,8,25806,112.5,400,266,2,26478.048787767784,16968.936984922486,80.45039196648469,0.7804878048780488,destination
202547,82391ffffffffff,36.5,104787,1270.5,1475.5,746.5,11,26681.885852973664,16117.347062535031,210.59605108680654,0.5373270211216314,destination
202552,822c97fffffffff,21,70436,210.5,562.5,276,48.5,40208.85295836266,18313.53894055328,2287.29700104367,0.7276843467011643,destination
202547,8242e7fffffffff,0,0,39,248,204,0,13456.336850638234,11524.219449748321,0,0.8641114982578397,destination
202547,822c97fffffffff,0,0,32,352.5,232.5,1,18123.92033452606,13425.02976722403,85.25406338284694,0.9167750325097529,destination
202604,8253affffffffff,0,0,1.5,71,30,40,18661.703910566874,10048.121550493861,8571.150713662375,0.9793103448275862,destination
202547,82396ffffffffff,12.5,38092,837,2562.5,1735,3,38008.18813714459,26501.031345619056,50.03526419786492,0.7537873216649508,destination
202546,8242c7fffffffff,0,0,0.5,316.5,36,0,78948.74320945505,9502.96295737221,0,0.998422712933754,destination
202551,821eb7fffffffff,44,151587,2123.5,1670.5,1111,489.5,57559.96568407736,39303.21641664596,16296.522564284336,0.44030047443331577,destination
202551,823e6ffffffffff,5,18067,292,586,536,34,25671.989102728578,23693.060289319234,1402.3774211745886,0.6674259681093394,destination
202548,8253affffffffff,4,16013,98.5,384,229,9,22987.570496442793,14933.916744147115,608.4766333142205,0.7958549222797927,destination
202549,822daffffffffff,11.5,30511,1032.5,1893,1038,456.5,96329.7132235524,48161.08740315576,34983.232701157176,0.647068877115023,destination
202602,82611ffffffffff,1.5,4979,105.5,480,186,273,19001.64183153516,7458.271590826443,11301.157226969195,0.8198121263877028,destination
202550,821957fffffffff,48.5,208372,1828.5,1914.5,1304.5,272.5,45125.745426340196,29161.770012274133,7517.681707357362,0.5114881111407962,destination
202546,8242dffffffffff,0,0,0,132.5,24,0,34976.18310699494,6335.308638248141,0,1,destination
202547,821f17fffffffff,135,442583,4763.5,5163,2372.5,77.5,55050.61517854025,23851.756901079516,1099.1643658236362,0.5201229033395457,destination
202549,821957fffffffff,23.5,73780,1600.5,1689.5,1078.5,390.5,33253.244583561725,22383.706392725595,6417.651186283599,0.5135258358662614,destination
202550,823cc7fffffffff,0,0,15,125.5,109.5,2,7648.161014025119,6645.322228769173,129.66472303442967,0.8932384341637011,destination
202604,821f77fffffffff,1,2194,3,78,4.5,73.5,5561.675053224366,3406.0648593714154,2155.610193852951,0.9629629629629629,destination
202601,823987fffffffff,0,0,81,490.5,258,232.5,5408.755882490195,3412.56436140815,1996.1915210820448,0.8582677165354331,destination
202552,823f4ffffffffff,38.5,176275,440,496,94,395,106693.70921576521,19654.805969310237,86074.49730783407,0.5299145299145299,destination
202550,8242e7fffffffff,26.5,127634,456,509,413,7,24542.48409788838,20702.371338250083,357.8758616842932,0.5274611398963731,destination
202601,821f77fffffffff,123,147716,1037,1511.5,311.5,1181.5,31463.24719082321,4919.847280411574,26415.05479872771,0.5930939768491269,destination
202548,8242e7fffffffff,4.5,19592,131,400.5,265,2.5,20090.198079442867,14053.929617942951,133.59682880058713,0.753527751646284,destination
202547,821957fffffffff,6,18322,550,743.5,546,12.5,13384.162864354023,10242.065496216163,641.2181641343477,0.5747970622342482,destination
202551,8243affffffffff,7,17697,85.5,199.5,147.5,34.5,10803.6281108661,8714.568057931956,1238.822128646183,0.7,destination
202551,822daffffffffff,36.5,84973,996.5,1026.5,739.5,273.5,38849.24500547106,24724.99957684638,13737.213197173533,0.5074147305981216,destination
202552,82536ffffffffff,12,44266,198,307.5,172,36,13638.812522423283,9438.981912040343,767.7847906213455,0.6083086053412463,destination
202546,821f0ffffffffff,3,6864,462,1497.5,1032,1,7299.640608446713,5549.349489362393,14.840202281355724,0.7642255677468742,destination
202601,821e87fffffffff,7,14739,325,2331,520,1795.5,20352.16300260092,9447.3044819088,10880.615576257072,0.8776355421686747,destination
202603,823f1ffffffffff,0,0,5,165,75.5,89.5,5065.968764818826,4135.2737504351135,930.6950143837123,0.9705882352941176,destination
202550,821e9ffffffffff,7,26409,516.5,552.5,327.5,127.5,36773.616092392025,19933.421028662997,11575.986192412694,0.5168381665107578,destination
202550,82182ffffffffff,61,185159,2395,1705.5,932,418,36956.01069545266,18409.94260780748,11986.568792072214,0.415924887208877,destination
202551,823f4ffffffffff,52.5,185315,904.5,712.5,408.5,272.5,29710.953237056172,17673.443715134195,11192.531485741634,0.44063079777365494,destination
